Underlying Ticker,Strike Price,Ask,Bid,Volume,Open Interest
AAPL160311C00075000,75.00,26.70,26.50,13,15
AAPL160311C00080000,80.00,21.65,21.45,15,18
AAPL160311C00084000,84.00,17.70,17.45,70,60
AAPL160311C00085000,85.00,16.75,16.50,5,11
AAPL160311C00085500,85.50,16.25,16.00,1,1
AAPL160311C00086000,86.00,15.75,15.55,1,12
AAPL160311C00086500,86.50,15.25,14.95,2,2
AAPL160311C00087000,87.00,14.75,14.50,30,30
AAPL160311C00087500,87.50,14.25,14.00,1,2
AAPL160311C00088500,88.50,13.25,13.00,2,5
AAPL160311C00089000,89.00,12.70,12.40,2,18
AAPL160311C00090000,90.00,11.75,11.55,80,323
AAPL160311C00090500,90.50,11.20,11.05,1,6
AAPL160311C00091000,91.00,10.70,10.50,111,181
AAPL160311C00091500,91.50,10.20,10.00,1,25
AAPL160311C00092000,92.00,9.75,9.55,32,196
AAPL160311C00092500,92.50,9.20,9.00,2,"10,013"
AAPL160311C00093000,93.00,8.70,8.50,1,920
AAPL160311C00093500,93.50,8.20,8.00,1,"1,299"
AAPL160311C00094000,94.00,7.75,7.55,4,825
AAPL160311C00094500,94.50,7.30,7.05,18,112
AAPL160311C00095000,95.00,6.70,6.50,21,563
AAPL160311C00095500,95.50,6.20,6.00,8,321
AAPL160311C00096000,96.00,5.75,5.55,17,959
AAPL160311C00096500,96.50,5.30,5.10,80,875
AAPL160311C00097000,97.00,4.80,4.60,"1,206","2,172"
AAPL160311C00097500,97.50,4.35,4.15,21,"1,546"
AAPL160311C00098000,98.00,3.85,3.70,334,"2,490"
AAPL160311C00098500,98.50,3.40,3.20,200,"1,489"
AAPL160311C00099000,99.00,2.84,2.79,"1,820","2,338"
AAPL160311C00099500,99.50,2.46,2.42,342,"1,207"
AAPL160311C00100000,100.00,2.06,2.03,"3,767","12,934"
AAPL160311C00101000,101.00,1.40,1.37,"4,989","5,430"
AAPL160311C00102000,102.00,0.85,0.83,"12,530","9,081"
AAPL160311C00103000,103.00,0.51,0.50,"13,869","7,684"
AAPL160311C00104000,104.00,0.30,0.29,"6,899","7,116"
AAPL160311C00105000,105.00,0.18,0.17,"10,139","9,809"
AAPL160311C00106000,106.00,0.12,0.10,"3,311","5,891"
AAPL160311C00107000,107.00,0.08,0.07,"1,742","2,027"
AAPL160311C00108000,108.00,0.06,0.05,998,"1,017"
AAPL160311C00109000,109.00,0.05,0.03,280,581
AAPL160311C00110000,110.00,0.04,0.03,"1,052","1,052"
AAPL160311C00111000,111.00,0.03,0.02,228,852
AAPL160311C00112000,112.00,0.03,0.01,181,141
AAPL160311C00113000,113.00,0.02,0.01,107,430
