Underlying Ticker,Strike Price,Ask,Bid
MSFT160304C00040000,40.00,12.80,9.30
MSFT160304C00045000,45.00,6.30,5.60
MSFT160304C00046000,46.00,5.70,4.60
MSFT160304C00046500,46.50,5.25,4.15
MSFT160304C00047000,47.00,4.75,3.65
MSFT160304C00047500,47.50,3.70,3.15
MSFT160304C00048000,48.00,3.20,2.71
MSFT160304C00048500,48.50,2.47,2.24
MSFT160304C00049000,49.00,1.99,1.87
MSFT160304C00049500,49.50,1.53,1.47
MSFT160304C00050000,50.00,1.15,1.12
MSFT160304C00050500,50.50,0.81,0.75
MSFT160304C00051000,51.00,0.53,0.51
MSFT160304C00051500,51.50,0.32,0.31
MSFT160304C00052000,52.00,0.19,0.17
MSFT160304C00052500,52.50,0.10,0.08
MSFT160304C00053000,53.00,0.06,0.05
MSFT160304C00053500,53.50,0.04,0.02
MSFT160304C00054000,54.00,0.02,0.01
MSFT160304C00054500,54.50,0.02,0.01
MSFT160304C00055000,55.00,0.04,0.01
MSFT160304C00055500,55.50,0.04,0.00
MSFT160304C00056000,56.00,0.03,0.00
MSFT160304C00056500,56.50,0.05,0.00
MSFT160304C00057000,57.00,0.04,0.00
MSFT160304C00057500,57.50,0.05,0.00
MSFT160304C00058000,58.00,0.05,0.00
MSFT160304C00059000,59.00,0.05,0.00
MSFT160304C00060000,60.00,0.01,0.00
