Call Information,,,,,,,Put Information
Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date,Strike Price,Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date
AAPL160408C00075000,30.80,31.05,18,18,2016-04-08,75.00
AAPL160408C00080000,25.80,26.05,1,1,2016-04-08,80.00
,,,,,,84.00,AAPL160408P00084000,0.01,0.04,10,656,2016-04-08
,,,,,,85.00
,,,,,,86.00,AAPL160408P00086000,0.01,0.05,10,19,2016-04-08
,,,,,,86.50
,,,,,,87.00,AAPL160408P00087000,0.01,0.05,10,26,2016-04-08
,,,,,,87.50,AAPL160408P00087500,0.01,0.05,10,41,2016-04-08
,,,,,,88.00,AAPL160408P00088000,0.01,0.06,3,32,2016-04-08
AAPL160408C00088500,17.35,17.55,1,1,2016-04-08,88.50
,,,,,,89.00,AAPL160408P00089000,0.02,0.06,5,57,2016-04-08
,,,,,,89.50,AAPL160408P00089500,0.02,0.06,1,2,2016-04-08
AAPL160408C00090000,15.85,16.10,15,15,2016-04-08,90.00,AAPL160408P00090000,0.03,0.07,5,258,2016-04-08
,,,,,,90.50,AAPL160408P00090500,0.03,0.07,8,9,2016-04-08
,,,,,,91.00,AAPL160408P00091000,0.04,0.08,5,57,2016-04-08
,,,,,,91.50,AAPL160408P00091500,0.04,0.08,1,131,2016-04-08
AAPL160408C00092000,13.85,14.10,6,6,2016-04-08,92.00,AAPL160408P00092000,0.05,0.08,6,35,2016-04-08
,,,,,,92.50,AAPL160408P00092500,0.05,0.09,1,337,2016-04-08
AAPL160408C00093000,12.90,13.10,2,12,2016-04-08,93.00,AAPL160408P00093000,0.06,0.09,179,306,2016-04-08
AAPL160408C00093500,12.40,12.60,10,10,2016-04-08,93.50,AAPL160408P00093500,0.06,0.10,1,217,2016-04-08
AAPL160408C00094000,11.90,12.10,20,47,2016-04-08,94.00,AAPL160408P00094000,0.07,0.11,6,115,2016-04-08
AAPL160408C00094500,11.40,11.65,1,1,2016-04-08,94.50,AAPL160408P00094500,0.08,0.11,1,33,2016-04-08
AAPL160408C00095000,10.90,11.15,10,32,2016-04-08,95.00,AAPL160408P00095000,0.09,0.12,106,627,2016-04-08
AAPL160408C00095500,10.40,10.65,2,6,2016-04-08,95.50,AAPL160408P00095500,0.09,0.13,4,145,2016-04-08
AAPL160408C00096000,9.95,10.15,13,79,2016-04-08,96.00,AAPL160408P00096000,0.10,0.14,12,388,2016-04-08
AAPL160408C00096500,9.45,9.65,4,51,2016-04-08,96.50,AAPL160408P00096500,0.12,0.16,1,63,2016-04-08
AAPL160408C00097000,8.95,9.20,5,"1,052",2016-04-08,97.00,AAPL160408P00097000,0.13,0.16,85,289,2016-04-08
AAPL160408C00097500,8.50,8.70,2,65,2016-04-08,97.50,AAPL160408P00097500,0.15,0.18,13,146,2016-04-08
AAPL160408C00098000,8.00,8.20,3,137,2016-04-08,98.00,AAPL160408P00098000,0.17,0.21,47,260,2016-04-08
AAPL160408C00098500,7.55,7.75,3,49,2016-04-08,98.50,AAPL160408P00098500,0.19,0.23,11,270,2016-04-08
AAPL160408C00099000,7.05,7.25,69,123,2016-04-08,99.00,AAPL160408P00099000,0.22,0.25,108,507,2016-04-08
AAPL160408C00099500,6.60,6.80,7,51,2016-04-08,99.50,AAPL160408P00099500,0.25,0.29,5,172,2016-04-08
AAPL160408C00100000,6.15,6.30,98,"1,162",2016-04-08,100.00,AAPL160408P00100000,0.29,0.32,"1,880",633,2016-04-08
AAPL160408C00101000,5.25,5.40,96,671,2016-04-08,101.00,AAPL160408P00101000,0.39,0.43,60,736,2016-04-08
AAPL160408C00102000,4.40,4.55,52,"3,505",2016-04-08,102.00,AAPL160408P00102000,0.52,0.56,208,"2,845",2016-04-08
AAPL160408C00103000,3.60,3.75,91,"1,479",2016-04-08,103.00,AAPL160408P00103000,0.72,0.76,350,"1,743",2016-04-08
AAPL160408C00104000,2.89,2.98,154,407,2016-04-08,104.00,AAPL160408P00104000,0.98,1.01,352,559,2016-04-08
AAPL160408C00105000,2.24,2.30,253,"8,367",2016-04-08,105.00,AAPL160408P00105000,1.31,1.36,765,"1,854",2016-04-08
AAPL160408C00106000,1.68,1.74,908,"4,930",2016-04-08,106.00,AAPL160408P00106000,1.74,1.80,527,204,2016-04-08
AAPL160408C00107000,1.22,1.27,489,"2,830",2016-04-08,107.00,AAPL160408P00107000,2.27,2.35,263,50,2016-04-08
AAPL160408C00108000,0.86,0.90,592,"1,024",2016-04-08,108.00,AAPL160408P00108000,2.90,3.00,69,19,2016-04-08
AAPL160408C00110000,0.39,0.42,"1,104","2,916",2016-04-08,110.00,AAPL160408P00110000,4.40,4.55,25,34,2016-04-08
AAPL160408C00115000,0.05,0.08,127,"1,671",2016-04-08,115.00
