Call Information
Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date
,,,,,,55.00
,,,,,,60.00
,,,,,,65.00
,,,,,,70.00
AAPL160311C00075000,25.95,26.20,13,15,2016-03-11,75.00
AAPL160311C00080000,20.95,21.20,15,18,2016-03-11,80.00
,,,,,,82.00
,,,,,,83.00
AAPL160311C00084000,16.95,17.25,70,60,2016-03-11,84.00
AAPL160311C00085000,15.95,16.20,5,11,2016-03-11,85.00
AAPL160311C00085500,15.45,15.70,1,1,2016-03-11,85.50
AAPL160311C00086000,14.95,15.20,1,12,2016-03-11,86.00
AAPL160311C00086500,14.45,14.75,2,2,2016-03-11,86.50
AAPL160311C00087000,13.95,14.20,30,30,2016-03-11,87.00
AAPL160311C00087500,13.45,13.70,1,2,2016-03-11,87.50
,,,,,,88.00
AAPL160311C00088500,12.45,12.70,1,4,2016-03-11,88.50
AAPL160311C00089000,11.95,12.20,2,17,2016-03-11,89.00
,,,,,,89.50
AAPL160311C00090000,10.95,11.30,10,372,2016-03-11,90.00
AAPL160311C00090500,10.45,10.75,1,6,2016-03-11,90.50
AAPL160311C00091000,9.95,10.25,5,181,2016-03-11,91.00
AAPL160311C00091500,9.45,9.75,5,25,2016-03-11,91.50
AAPL160311C00092000,8.95,9.25,32,196,2016-03-11,92.00
AAPL160311C00092500,8.45,8.70,2,"10,013",2016-03-11,92.50
AAPL160311C00093000,7.95,8.20,1,919,2016-03-11,93.00
AAPL160311C00093500,7.45,7.70,1,"1,299",2016-03-11,93.50
AAPL160311C00094000,6.95,7.20,15,820,2016-03-11,94.00
AAPL160311C00094500,6.45,6.70,18,104,2016-03-11,94.50
AAPL160311C00095000,5.95,6.20,11,554,2016-03-11,95.00
AAPL160311C00095500,5.45,5.70,1,277,2016-03-11,95.50
AAPL160311C00096000,4.95,5.20,49,870,2016-03-11,96.00
AAPL160311C00096500,4.45,4.70,251,862,2016-03-11,96.50
AAPL160311C00097000,4.05,4.20,89,"3,197",2016-03-11,97.00
AAPL160311C00097500,3.50,3.70,34,"1,476",2016-03-11,97.50
AAPL160311C00098000,3.00,3.20,249,"2,200",2016-03-11,98.00
AAPL160311C00098500,2.56,2.73,130,"1,257",2016-03-11,98.50
AAPL160311C00099000,2.17,2.27,"1,744","5,788",2016-03-11,99.00
AAPL160311C00099500,1.76,1.81,928,"1,393",2016-03-11,99.50
AAPL160311C00100000,1.37,1.40,"7,930","13,254",2016-03-11,100.00
AAPL160311C00101000,0.71,0.73,"18,993","7,572",2016-03-11,101.00
AAPL160311C00102000,0.30,0.32,"23,191","12,758",2016-03-11,102.00
AAPL160311C00103000,0.12,0.13,"9,942","18,110",2016-03-11,103.00
AAPL160311C00104000,0.05,0.06,"6,114","11,123",2016-03-11,104.00
AAPL160311C00105000,0.03,0.05,"5,128","17,462",2016-03-11,105.00
AAPL160311C00106000,0.02,0.03,"2,195","7,572",2016-03-11,106.00
AAPL160311C00107000,0.01,0.02,495,"3,227",2016-03-11,107.00
AAPL160311C00108000,0.01,0.02,111,"1,702",2016-03-11,108.00
AAPL160311C00109000,0.01,0.02,130,850,2016-03-11,109.00
AAPL160311C00110000,0.01,0.02,309,"2,188",2016-03-11,110.00
AAPL160311C00111000,0.01,0.02,101,"1,997",2016-03-11,111.00
,,,,,,112.00
,,,,,,113.00
,,,,,,115.00
,,,,,,116.00
,,,,,,120.00
,,,,,,125.00
,,,,,,130.00
,,,,,,135.00
,,,,,,140.00
,,,,,,145.00

Put Information
AAPL160311P00094500,0.01,0.02,20,533,2016-03-11
AAPL160311P00095000,0.01,0.02,170,"8,929",2016-03-11
AAPL160311P00096000,0.01,0.02,940,"6,489",2016-03-11
AAPL160311P00096500,0.01,0.03,744,"5,062",2016-03-11
AAPL160311P00097000,0.02,0.04,648,"4,125",2016-03-11
AAPL160311P00097500,0.03,0.04,820,"1,611",2016-03-11
AAPL160311P00098000,0.05,0.06,838,"6,723",2016-03-11
AAPL160311P00098500,0.08,0.09,"1,009","1,307",2016-03-11
AAPL160311P00099000,0.11,0.12,"2,299","5,489",2016-03-11
AAPL160311P00099500,0.16,0.18,"2,920","3,181",2016-03-11
AAPL160311P00100000,0.26,0.28,"13,019","12,425",2016-03-11
AAPL160311P00101000,0.60,0.62,"17,155","7,957",2016-03-11
AAPL160311P00102000,1.18,1.25,"4,786","4,850",2016-03-11
AAPL160311P00103000,1.99,2.15,718,"3,164",2016-03-11
AAPL160311P00104000,2.89,3.05,23,750,2016-03-11
AAPL160311P00105000,3.85,4.00,40,"1,365",2016-03-11
AAPL160311P00106000,4.85,5.00,36,411,2016-03-11
AAPL160311P00107000,5.85,6.05,4,571,2016-03-11
AAPL160311P00108000,6.85,7.05,6,15,2016-03-11
AAPL160311P00109000,7.80,8.05,14,33,2016-03-11
AAPL160311P00110000,8.80,9.05,163,206,2016-03-11
