Underlying Ticker,Strike Price,Ask,Bid
AAPL160304C00070000,70.00,27.20,26.95
AAPL160304C00075000,75.00,22.30,22.00
AAPL160304C00080000,80.00,17.25,16.95
AAPL160304C00084000,84.00,13.25,13.05
AAPL160304C00085000,85.00,12.25,12.05
AAPL160304C00085500,85.50,11.75,11.55
AAPL160304C00086000,86.00,11.25,11.05
AAPL160304C00086500,86.50,10.75,10.55
AAPL160304C00087000,87.00,10.25,10.00
AAPL160304C00087500,87.50,9.75,9.55
AAPL160304C00088000,88.00,9.25,9.05
AAPL160304C00088500,88.50,8.75,8.55
AAPL160304C00089000,89.00,8.25,8.05
AAPL160304C00089500,89.50,7.75,7.55
AAPL160304C00090000,90.00,7.25,7.10
AAPL160304C00090500,90.50,6.75,6.60
AAPL160304C00091000,91.00,6.25,6.10
AAPL160304C00091500,91.50,5.80,5.60
AAPL160304C00092000,92.00,5.30,5.10
AAPL160304C00092500,92.50,4.80,4.65
AAPL160304C00093000,93.00,4.35,4.15
AAPL160304C00093500,93.50,3.85,3.70
AAPL160304C00094000,94.00,3.35,3.30
AAPL160304C00094500,94.50,2.89,2.82
AAPL160304C00095000,95.00,2.47,2.45
AAPL160304C00095500,95.50,2.03,2.01
AAPL160304C00096000,96.00,1.70,1.68
AAPL160304C00096500,96.50,1.35,1.33
AAPL160304C00097000,97.00,1.04,1.03
AAPL160304C00097500,97.50,0.76,0.75
AAPL160304C00098000,98.00,0.57,0.56
AAPL160304C00098500,98.50,0.38,0.37
AAPL160304C00099000,99.00,0.27,0.26
AAPL160304C00099500,99.50,0.18,0.17
AAPL160304C00100000,100.00,0.11,0.10
AAPL160304C00101000,101.00,0.05,0.03
AAPL160304C00102000,102.00,0.03,0.02
AAPL160304C00103000,103.00,0.02,0.01
AAPL160304C00104000,104.00,0.02,0.00
AAPL160304C00105000,105.00,0.01,0.00
AAPL160304C00106000,106.00,0.01,0.00
AAPL160304C00107000,107.00,0.02,0.00
AAPL160304C00108000,108.00,0.02,0.00
AAPL160304C00109000,109.00,0.02,0.00
AAPL160304C00110000,110.00,0.01,0.00
AAPL160304C00115000,115.00,0.02,0.00
AAPL160304C00120000,120.00,0.02,0.00
