Call Information
Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date
,,,,,,500.00
,,,,,,505.00
,,,,,,510.00
,,,,,,515.00
GOOG160520C00520000,216.60,220.50,3,4,2016-05-20,520.00
GOOG160520C00525000,211.70,215.50,1,1,2016-05-20,525.00
,,,,,,530.00
,,,,,,535.00
,,,,,,540.00
,,,,,,545.00
,,,,,,550.00
,,,,,,555.00
,,,,,,560.00
,,,,,,565.00
,,,,,,570.00
,,,,,,575.00
,,,,,,580.00
,,,,,,585.00
,,,,,,590.00
,,,,,,595.00
GOOG160520C00600000,138.80,142.40,2,5,2016-05-20,600.00
,,,,,,605.00
,,,,,,610.00
,,,,,,615.00
GOOG160520C00620000,119.90,123.70,1,2,2016-05-20,620.00
,,,,,,625.00
GOOG160520C00630000,110.80,114.50,1,5,2016-05-20,630.00
,,,,,,635.00
GOOG160520C00640000,101.80,104.70,2,4,2016-05-20,640.00
,,,,,,645.00
GOOG160520C00650000,93.40,95.80,1,38,2016-05-20,650.00
,,,,,,655.00
GOOG160520C00660000,85.00,87.30,2,16,2016-05-20,660.00
,,,,,,665.00
GOOG160520C00670000,76.40,79.00,8,8,2016-05-20,670.00
GOOG160520C00675000,72.50,75.00,2,4,2016-05-20,675.00
GOOG160520C00680000,68.30,71.30,3,11,2016-05-20,680.00
,,,,,,685.00
GOOG160520C00690000,60.70,63.60,1,20,2016-05-20,690.00
GOOG160520C00695000,57.10,59.90,2,43,2016-05-20,695.00
GOOG160520C00700000,54.10,56.10,3,57,2016-05-20,700.00
GOOG160520C00705000,50.50,52.00,10,62,2016-05-20,705.00
GOOG160520C00710000,46.70,48.80,95,160,2016-05-20,710.00
GOOG160520C00715000,43.40,45.50,1,136,2016-05-20,715.00
GOOG160520C00720000,40.20,42.40,4,160,2016-05-20,720.00
GOOG160520C00725000,37.50,39.40,2,64,2016-05-20,725.00
GOOG160520C00730000,35.00,36.80,55,"1,927",2016-05-20,730.00
GOOG160520C00735000,32.40,33.80,44,43,2016-05-20,735.00
GOOG160520C00740000,29.60,31.30,34,223,2016-05-20,740.00
GOOG160520C00745000,27.20,28.40,5,41,2016-05-20,745.00
GOOG160520C00750000,24.60,25.90,20,150,2016-05-20,750.00
GOOG160520C00755000,22.50,23.90,8,26,2016-05-20,755.00
GOOG160520C00760000,20.20,21.50,27,162,2016-05-20,760.00
GOOG160520C00765000,17.70,19.40,1,23,2016-05-20,765.00
GOOG160520C00770000,16.30,17.40,1,69,2016-05-20,770.00
GOOG160520C00775000,14.50,15.60,6,64,2016-05-20,775.00
GOOG160520C00780000,13.00,14.10,17,41,2016-05-20,780.00
GOOG160520C00785000,11.50,12.60,1,17,2016-05-20,785.00
GOOG160520C00790000,9.90,11.00,32,51,2016-05-20,790.00
GOOG160520C00795000,8.80,9.90,2,18,2016-05-20,795.00
GOOG160520C00800000,7.80,8.80,37,162,2016-05-20,800.00
GOOG160520C00805000,6.70,7.70,7,6,2016-05-20,805.00
GOOG160520C00810000,5.80,6.70,2,20,2016-05-20,810.00
GOOG160520C00815000,5.10,6.00,6,75,2016-05-20,815.00
GOOG160520C00820000,4.40,5.50,1,33,2016-05-20,820.00
GOOG160520C00825000,3.70,4.60,1,15,2016-05-20,825.00
GOOG160520C00830000,3.30,4.00,1,24,2016-05-20,830.00
GOOG160520C00835000,2.75,3.50,38,39,2016-05-20,835.00
GOOG160520C00840000,2.40,3.00,10,51,2016-05-20,840.00
GOOG160520C00845000,2.05,2.65,10,10,2016-05-20,845.00
GOOG160520C00850000,1.70,2.20,3,44,2016-05-20,850.00
GOOG160520C00855000,1.45,2.00,10,66,2016-05-20,855.00
GOOG160520C00860000,1.20,1.75,3,11,2016-05-20,860.00
