Underlying Ticker,Strike Price,Ask,Bid
AAPL160304C00070000,70.00,0.00,0.00
AAPL160304C00075000,75.00,0.00,0.00
AAPL160304C00080000,80.00,0.00,0.00
AAPL160304C00085000,85.00,0.00,0.00
AAPL160304C00085500,85.50,0.00,0.00
AAPL160304C00086000,86.00,0.00,0.00
AAPL160304C00086500,86.50,0.00,0.00
AAPL160304C00087000,87.00,0.00,0.00
AAPL160304C00087500,87.50,0.00,0.00
AAPL160304C00088000,88.00,0.00,0.00
AAPL160304C00088500,88.50,0.00,0.00
AAPL160304C00089000,89.00,0.00,0.00
AAPL160304C00089500,89.50,0.00,0.00
AAPL160304C00090000,90.00,0.00,0.00
AAPL160304C00090500,90.50,0.00,0.00
AAPL160304C00091000,91.00,0.00,0.00
AAPL160304C00091500,91.50,0.00,0.00
AAPL160304C00092000,92.00,0.00,0.00
AAPL160304C00092500,92.50,0.00,0.00
AAPL160304C00093000,93.00,0.00,0.00
AAPL160304C00093500,93.50,0.00,0.00
AAPL160304C00094000,94.00,0.00,0.00
AAPL160304C00094500,94.50,0.00,0.00
AAPL160304C00095000,95.00,0.00,0.00
AAPL160304C00095500,95.50,0.00,0.00
AAPL160304C00096000,96.00,0.00,0.00
AAPL160304C00096500,96.50,0.00,0.00
AAPL160304C00097000,97.00,0.00,0.00
AAPL160304C00097500,97.50,0.00,0.00
AAPL160304C00098000,98.00,0.00,0.00
AAPL160304C00098500,98.50,0.00,0.00
AAPL160304C00099000,99.00,0.00,0.00
AAPL160304C00099500,99.50,0.00,0.00
AAPL160304C00100000,100.00,0.00,0.00
AAPL160304C00101000,101.00,0.00,0.00
AAPL160304C00102000,102.00,0.00,0.00
AAPL160304C00103000,103.00,0.00,0.00
AAPL160304C00104000,104.00,0.00,0.00
AAPL160304C00105000,105.00,0.00,0.00
AAPL160304C00106000,106.00,0.00,0.00
AAPL160304C00108000,108.00,0.00,0.00
AAPL160304C00109000,109.00,0.00,0.00
AAPL160304C00110000,110.00,0.00,0.00
AAPL160304C00115000,115.00,0.00,0.00
AAPL160304C00120000,120.00,0.00,0.00
