Call Information,,
Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date,Strike Price,Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date
IBM160324C00140000,8.20,8.90,1,232,2016-03-24,140.00,IBM160324P00140000,0.01,0.06,15,253,2016-03-24
IBM160324C00141000,6.90,8.10,1,36,2016-03-24,141.00,IBM160324P00141000,0.03,0.10,34,73,2016-03-24
IBM160324C00142000,6.05,7.65,2,66,2016-03-24,142.00,IBM160324P00142000,0.04,0.09,11,326,2016-03-24
IBM160324C00143000,4.95,6.00,11,60,2016-03-24,143.00,IBM160324P00143000,0.01,0.13,63,453,2016-03-24
IBM160324C00144000,4.55,5.00,31,120,2016-03-24,144.00,IBM160324P00144000,0.12,0.19,102,488,2016-03-24
IBM160324C00145000,3.70,4.05,9,338,2016-03-24,145.00,IBM160324P00145000,0.19,0.26,132,643,2016-03-24
IBM160324C00146000,2.87,3.15,32,118,2016-03-24,146.00,IBM160324P00146000,0.31,0.38,225,383,2016-03-24
IBM160324C00147000,1.96,2.31,250,130,2016-03-24,147.00,IBM160324P00147000,0.49,0.60,"1,008","1,082",2016-03-24
IBM160324C00148000,1.33,1.58,79,92,2016-03-24,148.00,IBM160324P00148000,0.77,0.88,179,50,2016-03-24
IBM160324C00149000,0.87,0.99,202,167,2016-03-24,149.00,IBM160324P00149000,1.16,1.34,10,10,2016-03-24
IBM160324C00150000,0.46,0.58,498,"1,032",2016-03-24,150.00,IBM160324P00150000,1.75,2.04,154,11,2016-03-24
